title,source,author,published_at,description,content,title_length,content_length,date,hour
"Regularly $999, score a MacBook Air for $200 with this limited-time deal - Mashable",Mashable,Sponsored by StackCommerce,2026-04-08 14:37:22+00:00,"High-end laptop, low-end price tag.",,83,0,2026-04-08,14
"Halt in strikes mostly holds after Trump, Iran agree to 2-week ceasefire - The Washington Post",The Washington Post,"Sammy Westfall, Natalie Allison, Evan Halper",2026-04-08 13:38:51+00:00,"With Washington and Tehran each claiming victory, the agreement raised the prospect of some respite after nearly six weeks of bombing.","JERUSALEM A two-week halt in the U.S.-Israeli attacks on Iran appeared largely tohold on Wednesday, the morning after President Donald Trump abandoned his threat to wipe out a whole civilization and … [+103 chars]",94,213,2026-04-08,13
Saudi Arabia’s Crucial East-West Pipeline Hit by Drone Attack - Bloomberg.com,Bloomberg,"Salma El Wardany, Anthony Di Paola",2026-04-08 13:24:46+00:00,"A key Saudi oil pipeline to the Red Sea was hit in a drone attack hours after a ceasefire in the war in the Middle East, according to a person familiar with the matter.","A key Saudi oil pipeline to the Red Sea was hit in a drone attack hours after a ceasefire in the war in the Middle East, according to a person familiar with the matter. 
A pumping station along the … [+173 chars]",77,213,2026-04-08,13
Israel carries out large wave of air strikes across Lebanon - yahoo.com,BBC News,Hugo Bachega - Middle East correspondent,2026-04-08 13:13:52+00:00,"Attacks hit the southern suburbs of Beirut, southern Lebanon and the eastern Bekaa Valley hours after a US-Iran ceasefire was announced.","The Israeli military has carried out a large wave of air strikes across Lebanon, with reports of a high number of casualties across the country, hospitals overwhelmed and people believed to be under … [+4257 chars]",71,214,2026-04-08,13
Gilgo Beach serial killer suspect Rex Heuermann expected to plead guilty - CBS News,CBS News,Jesse  Zanger,2026-04-08 12:56:00+00:00,"Accused Gilgo Beach serial killer Rex Heuermann is due in a Long Island courtroom Wednesday, where he is expected to plead guilty to murdering seven women.","In 2022, Rodney Harrison, the newly-appointed Suffolk County Police Commissioner and former NYPD chief, promised the families of victims that he would ""bring those accountable to justice."" 
""Lot of … [+1307 chars]",83,214,2026-04-08,12
"Apple very cautious about iPhone Ultra sales, as Samsung wins major concession - 9to5Mac",9to5Mac,Ben Lovejoy,2026-04-08 12:52:00+00:00,"A new report suggests Apple is being extremely cautious in its expectations of demand for its most expensive ever smartphone,...","A new report suggests Apple is being extremely cautious in its expectations of demand for its most expensive ever smartphone, the iPhone Fold (or iPhone Ultra). The company is said to have told manuf… [+2396 chars]",88,214,2026-04-08,12
Cybersecurity Stocks Climb Amid Anthropic's Project Glasswing Launch - Investor's Business Daily,Investor's Business Daily,Unknown,2026-04-08 12:44:00+00:00,Many cybersecurity firms will join the AI startup's Project Glasswing.,"Information in Investors Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securities. … [+1064 chars]",96,214,2026-04-08,12
"After pager attack on Hezbollah, Hungary offered help to Iran - washingtonpost.com",The Washington Post,Catherine Belton,2026-04-08 12:28:48+00:00,Revelations about a 2024 call offering assistance raise questions about Hungary’s ties to Iran as the Trump administration backs Prime Minister Viktor Orban for reelection.,"Soon after the deadly Israeli attack that caused thousands of Hezbollah pagers to explode in September 2024, Hungarian Prime Minister Viktor Orbans government offered its assistance to Iran, the key … [+78 chars]",82,212,2026-04-08,12
Pirates Sign Konnor Griffin To Nine-Year Extension - MLB Trade Rumors,MLB Trade Rumors,Nick Deeds,2026-04-08 12:11:59+00:00,Konnor Griffin and the Pirates have finally worked out their long-awaited extension. Read more at MLB Trade Rumors.,The Pirates have announced that they’ve signed Konnor Griffin to a nine-year extension. The news was first reported by Jon Heyman of The New York Post this morning. The deal runs through the 2034 sea… [+3788 chars],69,214,2026-04-08,12
Trump threatens tariffs of 50% on countries 'supplying military weapons to Iran' - CNBC,CNBC,Mike Sheen,2026-04-08 12:11:34+00:00,"President Donald Trump says the U.S. will impose tariffs of 50% on goods imported to the country from any nation ""supplying military weapons to Iran"".","The U.S. will impose tariffs of 50% on ""any and all"" goods imported to the country from any nation ""supplying military weapons to Iran"", President Donald Trump said on Wednesday. 
Trump said in a Tr… [+821 chars]",87,213,2026-04-08,12
